State,Year,Population
California,1987,27663000
California,1988,28168000
California,1989,29063000
California,1990,29760021
California,1991,30380000
California,1992,30867000
California,1993,31211000
California,1994,31431000
California,1995,31589000
California,1996,31878000
California,1997,32268000
California,1998,32667000
California,1999,33145121
California,2000,33871648
California,2001,34600463
California,2002,35001986
California,2003,35462712
California,2004,35842038
California,2005,36154147
California,2006,36457549
California,2007,36553215
California,2008,36756666
California,2009,36961664
California,2010,37338198
California,2011,37683933
California,2012,38041430
Colorado,1960,1753947
Colorado,1961,1781000
Colorado,1962,1907000
Colorado,1963,1961000
Colorado,1964,1966000
Colorado,1965,1969000
Colorado,1966,1977000
Colorado,1967,1975000
Colorado,1968,2048000
Colorado,1969,2100000
Colorado,1970,2207259
Colorado,1971,2283000
Colorado,1972,2357000
Colorado,1973,2437000
Colorado,1974,2496000
Colorado,1975,2534000
Colorado,1976,2583000
Colorado,1977,2619000
Colorado,1978,2670000
Colorado,1979,2772000
Colorado,1980,2878407
Colorado,1981,2963000
Colorado,1982,3045000
Colorado,1983,3139000
Colorado,1984,3178000
Colorado,1985,3231000
Colorado,1986,3267000
Colorado,1987,3296000
Colorado,1988,3290000
Colorado,1989,3317000
Colorado,1990,3294394
Colorado,1991,3377000
Colorado,1992,3470000
Colorado,1993,3566000
Colorado,1994,3656000
Colorado,1995,3747000
Colorado,1996,3823000
Colorado,1997,3893000
Colorado,1998,3971000
Colorado,1999,4056133
Colorado,2000,4301261
Colorado,2001,4430989
Colorado,2002,4501051
Colorado,2003,4547633
Colorado,2004,4601821
Colorado,2005,4663295
Colorado,2006,4753377
Colorado,2007,4861515
Colorado,2008,4939456
Colorado,2009,5024748
Colorado,2010,5047692
Colorado,2011,5116302
Colorado,2012,5187582
Connecticut,1960,2535234
Connecticut,1961,2614000
Connecticut,1962,2597000
Connecticut,1963,2666000
Connecticut,1964,2766000
Connecticut,1965,2832000
Connecticut,1966,2875000
Connecticut,1967,2925000
Connecticut,1968,2959000
Connecticut,1969,3000000
Connecticut,1970,3032217
Connecticut,1971,3081000
Connecticut,1972,3082000
Connecticut,1973,3076000
Connecticut,1974,3088000
Connecticut,1975,3095000
Connecticut,1976,3117000
Connecticut,1977,3108000
Connecticut,1978,3099000
Connecticut,1979,3115000
Connecticut,1980,3095224
Connecticut,1981,3132000
Connecticut,1982,3153000
Connecticut,1983,3138000
Connecticut,1984,3154000
Connecticut,1985,3174000
Connecticut,1986,3189000
Connecticut,1987,3211000
Connecticut,1988,3241000
Connecticut,1989,3239000
Connecticut,1990,3287116
Connecticut,1991,3291000
Connecticut,1992,3281000
Connecticut,1993,3277000
Connecticut,1994,3275000
Connecticut,1995,3275000
Connecticut,1996,3274000
Connecticut,1997,3270000
Connecticut,1998,3274000
Connecticut,1999,3282031
Connecticut,2000,3405565
Connecticut,2001,3434602
Connecticut,2002,3458587
Connecticut,2003,3486960
Connecticut,2004,3498966
Connecticut,2005,3500701
Connecticut,2006,3504809
Connecticut,2007,3502309
Connecticut,2008,3501252
Connecticut,2009,3518288
Connecticut,2010,3575498
Connecticut,2011,3586717
Connecticut,2012,3590347
Delaware,1960,446292
Delaware,1961,458000
Delaware,1962,469000
Delaware,1963,476000
Delaware,1964,491000
Delaware,1965,505000
Delaware,1966,512000
Delaware,1967,524000
Delaware,1968,534000
Delaware,1969,540000
Delaware,1970,548104
Delaware,1971,558000
Delaware,1972,565000
Delaware,1973,576000
Delaware,1974,573000
Delaware,1975,579000
Delaware,1976,582000
Delaware,1977,582000
Delaware,1978,583000
Delaware,1979,582000
Delaware,1980,594779
Delaware,1981,598000
Delaware,1982,602000
Delaware,1983,606000
Delaware,1984,613000
Delaware,1985,622000
Delaware,1986,633000
Delaware,1987,644000
Delaware,1988,660000
Delaware,1989,673000
Delaware,1990,666168
Delaware,1991,680000
Delaware,1992,689000
Delaware,1993,700000
Delaware,1994,706000
Delaware,1995,717000
Delaware,1996,725000
Delaware,1997,732000
Delaware,1998,744000
Delaware,1999,753538
Delaware,2000,783600
Delaware,2001,796599
Delaware,2002,805945
Delaware,2003,818166
Delaware,2004,830069
Delaware,2005,841741
Delaware,2006,853476
Delaware,2007,864764
Delaware,2008,873092
Delaware,2009,885122
Delaware,2010,899792
Delaware,2011,908137
Delaware,2012,917092
District of Columbia,1960,763956
District of Columbia,1961,763956
District of Columbia,1962,784000
District of Columbia,1963,798000
District of Columbia,1964,808000
District of Columbia,1965,803000
District of Columbia,1966,808000
District of Columbia,1967,809000
District of Columbia,1968,809000
District of Columbia,1969,798000
District of Columbia,1970,756510
